InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
100000,P1003,Laptop Stand,4,2023-12-16,35.0,10265,United Kingdom,140.0
100000,P1005,HD Webcam,4,2023-07-08,65.0,10937,Singapore,260.0
100000,P1001,Wireless Mouse,2,2024-08-01,15.99,11956,Germany,31.98
100001,P1004,Noise Cancelling Headphones,5,2023-10-31,120.0,11547,UAE,600.0
100001,P1008,External SSD 1TB,5,2024-05-21,140.0,11980,India,700.0
100001,P1006,Bluetooth Speaker,5,2023-04-04,55.0,11006,India,275.0
100001,P1001,Wireless Mouse,5,2023-02-22,15.99,10227,Germany,79.95
100002,P1001,Wireless Mouse,3,2023-06-19,15.99,10838,India,47.97
100003,P1003,Laptop Stand,1,2023-02-01,35.0,10203,Singapore,35.0
100003,P1010,Ergonomic Chair Cushion,5,2023-04-28,30.0,11555,UAE,150.0
100003,P1008,External SSD 1TB,1,2023-08-26,140.0,10545,United Kingdom,140.0
100004,P1008,External SSD 1TB,1,2024-10-09,140.0,10606,France,140.0
100004,P1003,Laptop Stand,2,2024-04-07,35.0,11413,France,70.0
100004,P1007,Gaming Mousepad,5,2023-05-22,18.75,10236,France,93.75
100005,P1003,Laptop Stand,3,2023-02-07,35.0,10553,USA,105.0
100005,P1004,Noise Cancelling Headphones,2,2024-01-01,120.0,10259,France,240.0
100005,P1009,USB-C Hub,2,2023-07-09,45.0,11935,USA,90.0
100005,P1004,Noise Cancelling Headphones,1,2024-02-17,120.0,10231,Germany,120.0
100006,P1003,Laptop Stand,4,2023-10-03,35.0,11501,UAE,140.0
100007,P1005,HD Webcam,3,2023-10-28,65.0,11311,France,195.0
100008,P1007,Gaming Mousepad,5,2024-01-16,18.75,11947,UAE,93.75
100008,P1005,HD Webcam,5,2024-09-09,65.0,10706,Netherlands,325.0
100008,P1004,Noise Cancelling Headphones,3,2024-07-29,120.0,10431,USA,360.0
100009,P1008,External SSD 1TB,5,2023-05-23,140.0,11663,Netherlands,700.0
100009,P1004,Noise Cancelling Headphones,4,2024-08-09,120.0,11210,France,480.0
100010,P1002,USB Keyboard,4,2023-04-30,25.5,10241,UAE,102.0
100010,P1010,Ergonomic Chair Cushion,5,2023-08-14,30.0,10578,UAE,150.0
100010,P1006,Bluetooth Speaker,2,2023-01-31,55.0,10346,Singapore,110.0
100011,P1002,USB Keyboard,5,2023-01-25,25.5,11399,Germany,127.5
100011,P1003,Laptop Stand,5,2024-05-18,35.0,11842,Germany,175.0
100011,P1001,Wireless Mouse,3,2024-12-15,15.99,10168,France,47.97
100012,P1005,HD Webcam,4,2024-05-28,65.0,11884,Netherlands,260.0
100012,P1009,USB-C Hub,2,2024-07-06,45.0,11260,France,90.0
100012,P1002,USB Keyboard,3,2023-05-10,25.5,10012,United Kingdom,76.5
100013,P1007,Gaming Mousepad,3,2024-09-05,18.75,10428,United Kingdom,56.25
100013,P1005,HD Webcam,2,2023-06-30,65.0,10063,Germany,130.0
100013,P1002,USB Keyboard,2,2024-03-25,25.5,11587,France,51.0
100014,P1008,External SSD 1TB,3,2024-12-12,140.0,10330,France,420.0
100014,P1006,Bluetooth Speaker,5,2023-08-11,55.0,10135,France,275.0
100014,P1004,Noise Cancelling Headphones,2,2024-06-28,120.0,11899,United Kingdom,240.0
100014,P1004,Noise Cancelling Headphones,1,2024-04-16,120.0,11444,United Kingdom,120.0
100015,P1002,USB Keyboard,2,2023-04-28,25.5,11180,United Kingdom,51.0
100016,P1003,Laptop Stand,3,2024-01-20,35.0,10393,India,105.0
100016,P1007,Gaming Mousepad,1,2023-03-31,18.75,11014,Netherlands,18.75
100016,P1003,Laptop Stand,3,2024-01-01,35.0,11270,France,105.0
100016,P1005,HD Webcam,4,2024-02-09,65.0,10558,UAE,260.0
100017,P1010,Ergonomic Chair Cushion,4,2024-12-27,30.0,11190,Germany,120.0
100017,P1006,Bluetooth Speaker,5,2023-11-04,55.0,11862,Germany,275.0
100017,P1006,Bluetooth Speaker,2,2023-03-01,55.0,11735,India,110.0
100017,P1004,Noise Cancelling Headphones,3,2024-07-13,120.0,11637,United Kingdom,360.0
100018,P1006,Bluetooth Speaker,1,2024-05-31,55.0,10345,Singapore,55.0
100018,P1003,Laptop Stand,2,2023-12-15,35.0,10897,United Kingdom,70.0
100018,P1007,Gaming Mousepad,5,2023-01-27,18.75,11507,USA,93.75
100018,P1007,Gaming Mousepad,3,2024-06-23,18.75,10511,France,56.25
100019,P1004,Noise Cancelling Headphones,3,2023-12-30,120.0,11890,USA,360.0
100019,P1002,USB Keyboard,4,2023-01-14,25.5,10138,India,102.0
100019,P1007,Gaming Mousepad,5,2023-10-02,18.75,11649,United Kingdom,93.75
100020,P1003,Laptop Stand,3,2024-01-20,35.0,11431,United Kingdom,105.0
100020,P1001,Wireless Mouse,4,2023-09-05,15.99,11820,UAE,63.96
100021,P1002,USB Keyboard,4,2023-11-14,25.5,10820,UAE,102.0
100022,P1010,Ergonomic Chair Cushion,1,2023-01-29,30.0,11924,Germany,30.0
100022,P1009,USB-C Hub,5,2023-06-17,45.0,10023,Singapore,225.0
100023,P1008,External SSD 1TB,5,2023-09-04,140.0,11613,Germany,700.0
100023,P1006,Bluetooth Speaker,3,2023-09-20,55.0,11104,United Kingdom,165.0
100023,P1006,Bluetooth Speaker,1,2023-03-25,55.0,10550,Netherlands,55.0
100023,P1001,Wireless Mouse,2,2024-11-14,15.99,11707,Germany,31.98
100024,P1002,USB Keyboard,3,2023-09-08,25.5,10832,Singapore,76.5
100024,P1004,Noise Cancelling Headphones,4,2023-11-26,120.0,11015,Netherlands,480.0
100024,P1003,Laptop Stand,2,2024-08-04,35.0,11675,UAE,70.0
100024,P1001,Wireless Mouse,2,2024-08-11,15.99,10229,India,31.98
100025,P1008,External SSD 1TB,3,2024-12-12,140.0,11972,Singapore,420.0
100025,P1007,Gaming Mousepad,1,2023-12-17,18.75,10235,Germany,18.75
100026,P1004,Noise Cancelling Headphones,5,2024-09-15,120.0,10079,Germany,600.0
100026,P1009,USB-C Hub,1,2024-08-16,45.0,11571,United Kingdom,45.0
100027,P1004,Noise Cancelling Headphones,3,2024-10-06,120.0,10002,USA,360.0
100027,P1001,Wireless Mouse,5,2024-04-09,15.99,10947,UAE,79.95
100028,P1010,Ergonomic Chair Cushion,2,2023-11-22,30.0,11831,France,60.0
100028,P1001,Wireless Mouse,4,2024-09-24,15.99,11914,USA,63.96
100028,P1001,Wireless Mouse,1,2023-03-10,15.99,11092,India,15.99
100028,P1001,Wireless Mouse,5,2024-02-19,15.99,10799,United Kingdom,79.95
100029,P1004,Noise Cancelling Headphones,1,2024-11-16,120.0,10784,France,120.0
100029,P1001,Wireless Mouse,5,2023-05-11,15.99,11863,France,79.95
100029,P1002,USB Keyboard,4,2023-10-01,25.5,11218,UAE,102.0
100029,P1004,Noise Cancelling Headphones,3,2024-03-14,120.0,10224,Germany,360.0
100030,P1007,Gaming Mousepad,3,2023-01-19,18.75,11426,United Kingdom,56.25
100031,P1002,USB Keyboard,5,2023-07-09,25.5,10438,Netherlands,127.5
100032,P1008,External SSD 1TB,5,2023-09-27,140.0,11001,France,700.0
100032,P1007,Gaming Mousepad,3,2023-12-05,18.75,11079,Netherlands,56.25
100032,P1009,USB-C Hub,2,2024-10-19,45.0,10303,USA,90.0
100032,P1006,Bluetooth Speaker,2,2024-03-20,55.0,11576,USA,110.0
100033,P1004,Noise Cancelling Headphones,2,2024-08-02,120.0,10527,India,240.0
100033,P1006,Bluetooth Speaker,4,2024-09-19,55.0,11922,France,220.0
100034,P1004,Noise Cancelling Headphones,5,2023-12-22,120.0,10023,United Kingdom,600.0
100034,P1007,Gaming Mousepad,1,2023-09-07,18.75,11130,Singapore,18.75
100035,P1009,USB-C Hub,1,2024-05-20,45.0,10665,Netherlands,45.0
100036,P1003,Laptop Stand,5,2024-07-09,35.0,11226,Singapore,175.0
100036,P1003,Laptop Stand,3,2023-06-15,35.0,11306,Netherlands,105.0
100036,P1002,USB Keyboard,5,2023-10-24,25.5,11316,Netherlands,127.5
100036,P1001,Wireless Mouse,2,2023-05-11,15.99,10842,Germany,31.98
100037,P1001,Wireless Mouse,2,2024-05-01,15.99,10097,Singapore,31.98
100038,P1003,Laptop Stand,1,2024-06-09,35.0,10440,Singapore,35.0
100039,P1007,Gaming Mousepad,5,2023-10-03,18.75,11789,USA,93.75
100039,P1009,USB-C Hub,1,2024-08-13,45.0,11396,UAE,45.0
100039,P1002,USB Keyboard,3,2023-01-28,25.5,11851,UAE,76.5
100040,P1007,Gaming Mousepad,4,2023-03-17,18.75,11733,Germany,75.0
100040,P1001,Wireless Mouse,4,2023-10-19,15.99,11958,Singapore,63.96
100040,P1002,USB Keyboard,3,2024-01-16,25.5,11776,United Kingdom,76.5
100041,P1006,Bluetooth Speaker,2,2024-08-01,55.0,10706,India,110.0
100041,P1005,HD Webcam,2,2024-02-02,65.0,10931,France,130.0
100041,P1008,External SSD 1TB,2,2023-05-25,140.0,11377,Germany,280.0
100042,P1002,USB Keyboard,1,2023-01-08,25.5,10503,Singapore,25.5
100042,P1001,Wireless Mouse,1,2023-09-26,15.99,10483,France,15.99
100043,P1007,Gaming Mousepad,4,2024-03-31,18.75,10055,USA,75.0
100043,P1006,Bluetooth Speaker,2,2023-02-10,55.0,11230,India,110.0
100043,P1008,External SSD 1TB,2,2024-03-10,140.0,10416,Singapore,280.0
100043,P1008,External SSD 1TB,3,2023-11-29,140.0,10544,United Kingdom,420.0
100044,P1002,USB Keyboard,4,2023-09-30,25.5,10004,UAE,102.0
100044,P1008,External SSD 1TB,1,2024-02-13,140.0,10004,Singapore,140.0
100044,P1006,Bluetooth Speaker,4,2023-03-16,55.0,10114,United Kingdom,220.0
100044,P1009,USB-C Hub,2,2024-07-26,45.0,10002,USA,90.0
100045,P1007,Gaming Mousepad,2,2023-08-28,18.75,11002,India,37.5
100045,P1002,USB Keyboard,1,2023-02-03,25.5,11822,United Kingdom,25.5
100045,P1008,External SSD 1TB,1,2024-05-19,140.0,11838,Singapore,140.0
100045,P1009,USB-C Hub,4,2023-01-29,45.0,10155,United Kingdom,180.0
100046,P1007,Gaming Mousepad,5,2023-02-09,18.75,10132,France,93.75
100046,P1004,Noise Cancelling Headphones,2,2024-07-06,120.0,11693,Germany,240.0
100046,P1009,USB-C Hub,2,2024-03-25,45.0,11808,Germany,90.0
100046,P1004,Noise Cancelling Headphones,5,2023-05-03,120.0,11588,France,600.0
100047,P1004,Noise Cancelling Headphones,4,2024-03-14,120.0,11846,India,480.0
100047,P1009,USB-C Hub,3,2023-11-03,45.0,10591,France,135.0
100047,P1008,External SSD 1TB,3,2023-07-27,140.0,11724,USA,420.0
100048,P1004,Noise Cancelling Headphones,2,2024-11-01,120.0,10071,Singapore,240.0
100048,P1008,External SSD 1TB,3,2024-04-12,140.0,11695,UAE,420.0
100049,P1008,External SSD 1TB,4,2024-04-07,140.0,10566,India,560.0
100049,P1007,Gaming Mousepad,3,2023-11-10,18.75,11550,USA,56.25
100050,P1010,Ergonomic Chair Cushion,1,2024-08-15,30.0,11102,UAE,30.0
100050,P1006,Bluetooth Speaker,4,2024-04-15,55.0,11053,Singapore,220.0
100050,P1008,External SSD 1TB,5,2023-12-30,140.0,11767,Germany,700.0
100051,P1007,Gaming Mousepad,2,2023-10-14,18.75,11983,UAE,37.5
100051,P1005,HD Webcam,4,2023-06-20,65.0,11316,Netherlands,260.0
100052,P1004,Noise Cancelling Headphones,3,2023-02-05,120.0,11383,France,360.0
100052,P1002,USB Keyboard,4,2023-12-14,25.5,11312,Singapore,102.0
100052,P1008,External SSD 1TB,5,2023-09-14,140.0,11688,UAE,700.0
100053,P1009,USB-C Hub,4,2024-03-23,45.0,10464,France,180.0
100053,P1004,Noise Cancelling Headphones,5,2023-12-11,120.0,10760,UAE,600.0
100053,P1004,Noise Cancelling Headphones,5,2023-09-28,120.0,11010,India,600.0
100053,P1005,HD Webcam,4,2023-08-26,65.0,11282,Netherlands,260.0
100054,P1002,USB Keyboard,2,2024-09-10,25.5,10017,UAE,51.0
100054,P1007,Gaming Mousepad,2,2024-04-13,18.75,11322,United Kingdom,37.5
100054,P1005,HD Webcam,3,2024-11-04,65.0,10949,UAE,195.0
100055,P1006,Bluetooth Speaker,4,2023-02-06,55.0,10902,United Kingdom,220.0
100055,P1004,Noise Cancelling Headphones,4,2023-07-29,120.0,10728,United Kingdom,480.0
100055,P1008,External SSD 1TB,1,2024-11-18,140.0,10045,USA,140.0
100055,P1008,External SSD 1TB,2,2024-01-25,140.0,10974,Germany,280.0
100056,P1005,HD Webcam,5,2024-04-29,65.0,11737,UAE,325.0
100056,P1006,Bluetooth Speaker,1,2023-02-23,55.0,11231,UAE,55.0
100056,P1003,Laptop Stand,4,2023-01-24,35.0,11945,UAE,140.0
100056,P1001,Wireless Mouse,1,2023-09-18,15.99,11940,Singapore,15.99
100057,P1009,USB-C Hub,2,2023-04-23,45.0,10571,USA,90.0
100058,P1009,USB-C Hub,4,2023-08-30,45.0,11724,France,180.0
100058,P1003,Laptop Stand,2,2024-04-01,35.0,10009,United Kingdom,70.0
100058,P1004,Noise Cancelling Headphones,1,2024-10-31,120.0,11994,France,120.0
100059,P1007,Gaming Mousepad,3,2023-08-20,18.75,11454,United Kingdom,56.25
100060,P1002,USB Keyboard,5,2024-12-16,25.5,11107,USA,127.5
100060,P1003,Laptop Stand,5,2024-06-15,35.0,11121,United Kingdom,175.0
100060,P1006,Bluetooth Speaker,3,2024-07-30,55.0,10678,UAE,165.0
100061,P1008,External SSD 1TB,3,2023-02-01,140.0,10659,France,420.0
100061,P1001,Wireless Mouse,3,2024-02-04,15.99,11265,United Kingdom,47.97
100061,P1004,Noise Cancelling Headphones,2,2023-08-29,120.0,10204,Singapore,240.0
100062,P1001,Wireless Mouse,4,2024-05-22,15.99,11622,India,63.96
100063,P1002,USB Keyboard,3,2023-02-10,25.5,10909,UAE,76.5
100064,P1008,External SSD 1TB,2,2024-04-02,140.0,10923,India,280.0
100064,P1006,Bluetooth Speaker,1,2023-01-09,55.0,11129,France,55.0
100064,P1009,USB-C Hub,1,2024-08-19,45.0,10726,India,45.0
100065,P1002,USB Keyboard,3,2023-06-12,25.5,11639,Singapore,76.5
100065,P1003,Laptop Stand,1,2024-04-25,35.0,10515,Netherlands,35.0
100066,P1009,USB-C Hub,3,2024-09-29,45.0,10225,France,135.0
100066,P1009,USB-C Hub,1,2024-07-18,45.0,11007,Germany,45.0
100066,P1006,Bluetooth Speaker,1,2024-12-01,55.0,11057,United Kingdom,55.0
100066,P1003,Laptop Stand,4,2024-02-15,35.0,11403,United Kingdom,140.0
100067,P1005,HD Webcam,4,2024-10-20,65.0,10978,France,260.0
100068,P1002,USB Keyboard,1,2024-07-10,25.5,10409,USA,25.5
100068,P1007,Gaming Mousepad,4,2024-01-10,18.75,10394,United Kingdom,75.0
100068,P1010,Ergonomic Chair Cushion,3,2023-12-12,30.0,10157,France,90.0
100068,P1008,External SSD 1TB,5,2023-01-10,140.0,10913,India,700.0
100069,P1006,Bluetooth Speaker,3,2024-02-13,55.0,11437,United Kingdom,165.0
100069,P1008,External SSD 1TB,4,2023-07-07,140.0,10529,India,560.0
100070,P1002,USB Keyboard,2,2024-11-21,25.5,11209,United Kingdom,51.0
100070,P1003,Laptop Stand,1,2023-12-14,35.0,11354,Netherlands,35.0
100071,P1007,Gaming Mousepad,4,2023-08-10,18.75,11601,Germany,75.0
100071,P1010,Ergonomic Chair Cushion,4,2024-08-02,30.0,11042,UAE,120.0
100072,P1001,Wireless Mouse,4,2023-07-01,15.99,10020,USA,63.96
100073,P1007,Gaming Mousepad,3,2023-03-09,18.75,10763,France,56.25
100073,P1006,Bluetooth Speaker,1,2024-09-10,55.0,11914,Singapore,55.0
100074,P1008,External SSD 1TB,5,2023-09-07,140.0,11808,UAE,700.0
100075,P1007,Gaming Mousepad,4,2023-11-21,18.75,11697,France,75.0
100075,P1004,Noise Cancelling Headphones,2,2024-07-12,120.0,10747,Singapore,240.0
100076,P1003,Laptop Stand,1,2023-03-09,35.0,10846,France,35.0
100076,P1003,Laptop Stand,5,2024-10-29,35.0,10123,India,175.0
100076,P1004,Noise Cancelling Headphones,2,2023-12-09,120.0,10550,UAE,240.0
100076,P1009,USB-C Hub,5,2023-09-05,45.0,10676,United Kingdom,225.0
100077,P1009,USB-C Hub,5,2023-11-18,45.0,11619,Singapore,225.0
100077,P1002,USB Keyboard,1,2023-01-11,25.5,10643,United Kingdom,25.5
100077,P1005,HD Webcam,3,2023-04-21,65.0,11296,India,195.0
100077,P1001,Wireless Mouse,2,2024-08-20,15.99,10792,France,31.98
100078,P1004,Noise Cancelling Headphones,4,2023-05-05,120.0,10775,Singapore,480.0
100078,P1002,USB Keyboard,5,2024-04-09,25.5,11976,United Kingdom,127.5
100078,P1008,External SSD 1TB,2,2023-10-07,140.0,10885,United Kingdom,280.0
100079,P1004,Noise Cancelling Headphones,1,2023-08-18,120.0,11896,Singapore,120.0
100079,P1005,HD Webcam,2,2023-12-22,65.0,10794,Germany,130.0
100079,P1004,Noise Cancelling Headphones,4,2024-04-05,120.0,11847,United Kingdom,480.0
100079,P1005,HD Webcam,4,2023-03-31,65.0,10158,UAE,260.0
100080,P1005,HD Webcam,1,2023-12-27,65.0,10583,Netherlands,65.0
100080,P1005,HD Webcam,2,2024-03-12,65.0,10280,Netherlands,130.0
100080,P1003,Laptop Stand,3,2024-04-29,35.0,10827,Germany,105.0
100081,P1007,Gaming Mousepad,3,2023-03-24,18.75,10072,UAE,56.25
100081,P1003,Laptop Stand,5,2024-12-29,35.0,10553,France,175.0
100081,P1002,USB Keyboard,5,2023-03-24,25.5,10811,USA,127.5
100081,P1003,Laptop Stand,2,2024-09-20,35.0,11770,France,70.0
100082,P1003,Laptop Stand,5,2023-08-11,35.0,11024,India,175.0
100083,P1008,External SSD 1TB,4,2023-03-31,140.0,11635,USA,560.0
100083,P1004,Noise Cancelling Headphones,1,2024-05-01,120.0,10221,Netherlands,120.0
100083,P1003,Laptop Stand,5,2024-09-23,35.0,11903,USA,175.0
100083,P1010,Ergonomic Chair Cushion,3,2024-11-14,30.0,11136,UAE,90.0
100084,P1005,HD Webcam,4,2023-08-28,65.0,10821,France,260.0
100084,P1004,Noise Cancelling Headphones,3,2023-01-08,120.0,10241,India,360.0
100084,P1009,USB-C Hub,5,2024-05-24,45.0,11391,Netherlands,225.0
100085,P1008,External SSD 1TB,5,2023-03-05,140.0,10237,USA,700.0
100085,P1007,Gaming Mousepad,4,2024-01-04,18.75,11974,Singapore,75.0
100085,P1008,External SSD 1TB,3,2023-09-07,140.0,11805,India,420.0
100086,P1005,HD Webcam,1,2024-06-21,65.0,11848,UAE,65.0
100086,P1004,Noise Cancelling Headphones,1,2024-06-11,120.0,10553,France,120.0
100087,P1007,Gaming Mousepad,4,2024-09-15,18.75,11327,USA,75.0
100088,P1001,Wireless Mouse,5,2023-03-01,15.99,10237,Singapore,79.95
100088,P1006,Bluetooth Speaker,4,2024-07-07,55.0,10579,USA,220.0
100088,P1008,External SSD 1TB,3,2024-06-28,140.0,11945,Netherlands,420.0
100088,P1007,Gaming Mousepad,1,2023-11-21,18.75,11549,Germany,18.75
100089,P1002,USB Keyboard,5,2024-12-07,25.5,11983,USA,127.5
100089,P1007,Gaming Mousepad,3,2023-03-06,18.75,11209,Netherlands,56.25
100090,P1006,Bluetooth Speaker,1,2024-03-31,55.0,10935,USA,55.0
100090,P1005,HD Webcam,1,2023-10-02,65.0,10812,France,65.0
100090,P1004,Noise Cancelling Headphones,2,2023-06-03,120.0,10803,France,240.0
100090,P1001,Wireless Mouse,5,2024-07-01,15.99,11454,France,79.95
100091,P1002,USB Keyboard,4,2024-05-08,25.5,10002,Germany,102.0
100091,P1007,Gaming Mousepad,2,2023-11-04,18.75,11209,Netherlands,37.5
100091,P1010,Ergonomic Chair Cushion,1,2023-05-09,30.0,10979,Germany,30.0
100091,P1003,Laptop Stand,5,2023-04-10,35.0,11401,India,175.0
100092,P1005,HD Webcam,5,2024-02-02,65.0,10069,India,325.0
100092,P1008,External SSD 1TB,2,2024-11-15,140.0,10276,India,280.0
100093,P1008,External SSD 1TB,3,2023-05-30,140.0,11930,UAE,420.0
100093,P1006,Bluetooth Speaker,3,2023-10-19,55.0,10602,Netherlands,165.0
100094,P1005,HD Webcam,4,2023-09-03,65.0,10989,UAE,260.0
100094,P1002,USB Keyboard,5,2024-12-22,25.5,10438,United Kingdom,127.5
100095,P1009,USB-C Hub,2,2023-04-22,45.0,10397,UAE,90.0
100095,P1001,Wireless Mouse,1,2024-01-23,15.99,10430,UAE,15.99
100096,P1002,USB Keyboard,3,2023-06-29,25.5,10337,France,76.5
100096,P1001,Wireless Mouse,2,2023-10-25,15.99,11605,Netherlands,31.98
100097,P1004,Noise Cancelling Headphones,4,2023-12-18,120.0,11323,United Kingdom,480.0
100097,P1004,Noise Cancelling Headphones,4,2023-12-01,120.0,11960,Singapore,480.0
100097,P1005,HD Webcam,5,2024-04-23,65.0,10735,United Kingdom,325.0
100097,P1005,HD Webcam,4,2023-09-27,65.0,11120,India,260.0
100098,P1008,External SSD 1TB,4,2023-01-14,140.0,11087,USA,560.0
100098,P1003,Laptop Stand,3,2024-07-12,35.0,10883,Netherlands,105.0
100099,P1006,Bluetooth Speaker,3,2024-08-19,55.0,11279,United Kingdom,165.0
100100,P1003,Laptop Stand,4,2023-12-03,35.0,11142,UAE,140.0
100100,P1002,USB Keyboard,5,2024-09-18,25.5,10843,United Kingdom,127.5
100100,P1008,External SSD 1TB,3,2024-03-26,140.0,11347,United Kingdom,420.0
100101,P1001,Wireless Mouse,3,2023-10-03,15.99,10177,USA,47.97
100101,P1009,USB-C Hub,4,2023-01-30,45.0,11461,Netherlands,180.0
100102,P1007,Gaming Mousepad,5,2024-07-19,18.75,10611,Netherlands,93.75
100102,P1010,Ergonomic Chair Cushion,4,2023-06-11,30.0,11456,France,120.0
100103,P1004,Noise Cancelling Headphones,1,2023-05-04,120.0,10874,United Kingdom,120.0
100103,P1003,Laptop Stand,1,2023-04-06,35.0,11599,UAE,35.0
100103,P1006,Bluetooth Speaker,5,2023-07-20,55.0,10714,France,275.0
100103,P1009,USB-C Hub,1,2024-05-04,45.0,11251,USA,45.0
100104,P1009,USB-C Hub,5,2023-12-19,45.0,11358,Singapore,225.0
100104,P1004,Noise Cancelling Headphones,1,2023-04-29,120.0,11239,India,120.0
100105,P1010,Ergonomic Chair Cushion,2,2024-08-30,30.0,10566,France,60.0
100105,P1005,HD Webcam,3,2023-02-25,65.0,10288,USA,195.0
100106,P1009,USB-C Hub,4,2024-04-29,45.0,10475,India,180.0
100106,P1002,USB Keyboard,5,2024-05-20,25.5,11703,United Kingdom,127.5
100107,P1002,USB Keyboard,1,2024-05-26,25.5,10259,USA,25.5
100107,P1005,HD Webcam,2,2023-12-10,65.0,11227,USA,130.0
100107,P1001,Wireless Mouse,1,2024-03-24,15.99,10975,France,15.99
100107,P1008,External SSD 1TB,2,2023-03-22,140.0,10139,India,280.0
100108,P1005,HD Webcam,4,2024-01-01,65.0,10301,USA,260.0
100108,P1010,Ergonomic Chair Cushion,3,2023-07-27,30.0,11876,Netherlands,90.0
100109,P1002,USB Keyboard,3,2023-09-29,25.5,10921,Singapore,76.5
100109,P1009,USB-C Hub,2,2023-02-17,45.0,11992,USA,90.0
100109,P1002,USB Keyboard,1,2024-09-06,25.5,11683,Germany,25.5
100110,P1007,Gaming Mousepad,3,2023-05-13,18.75,11905,Netherlands,56.25
100110,P1008,External SSD 1TB,1,2024-03-05,140.0,10629,USA,140.0
100110,P1006,Bluetooth Speaker,5,2024-04-16,55.0,11236,United Kingdom,275.0
100110,P1007,Gaming Mousepad,1,2024-09-10,18.75,11577,France,18.75
100111,P1001,Wireless Mouse,5,2023-10-22,15.99,10068,India,79.95
100111,P1004,Noise Cancelling Headphones,5,2023-10-25,120.0,11011,United Kingdom,600.0
100111,P1007,Gaming Mousepad,3,2024-12-28,18.75,11468,USA,56.25
100112,P1001,Wireless Mouse,5,2023-12-04,15.99,10138,USA,79.95
100112,P1001,Wireless Mouse,1,2023-03-10,15.99,10251,France,15.99
100112,P1006,Bluetooth Speaker,4,2023-10-18,55.0,11220,United Kingdom,220.0
100112,P1004,Noise Cancelling Headphones,1,2024-03-28,120.0,11743,UAE,120.0
100113,P1003,Laptop Stand,2,2024-09-02,35.0,11931,USA,70.0
100113,P1005,HD Webcam,2,2023-04-20,65.0,10100,Singapore,130.0
100114,P1009,USB-C Hub,1,2024-10-07,45.0,10225,USA,45.0
100114,P1010,Ergonomic Chair Cushion,2,2024-08-02,30.0,10125,Germany,60.0
100114,P1010,Ergonomic Chair Cushion,4,2024-05-17,30.0,11343,France,120.0
100115,P1010,Ergonomic Chair Cushion,2,2023-12-19,30.0,10149,United Kingdom,60.0
100115,P1003,Laptop Stand,3,2023-06-22,35.0,11038,Singapore,105.0
100115,P1005,HD Webcam,4,2023-08-14,65.0,11375,Germany,260.0
100115,P1010,Ergonomic Chair Cushion,3,2023-03-14,30.0,10480,Singapore,90.0
100116,P1005,HD Webcam,3,2023-07-26,65.0,11634,Singapore,195.0
100117,P1009,USB-C Hub,4,2023-11-01,45.0,11091,United Kingdom,180.0
100117,P1010,Ergonomic Chair Cushion,3,2024-11-22,30.0,10975,Netherlands,90.0
100118,P1004,Noise Cancelling Headphones,2,2023-06-27,120.0,11655,USA,240.0
100118,P1001,Wireless Mouse,1,2023-07-05,15.99,10457,Singapore,15.99
100118,P1010,Ergonomic Chair Cushion,4,2024-05-27,30.0,10876,Singapore,120.0
100118,P1005,HD Webcam,1,2024-04-02,65.0,10938,Netherlands,65.0
100119,P1001,Wireless Mouse,4,2023-11-21,15.99,11248,France,63.96
100120,P1006,Bluetooth Speaker,4,2024-07-24,55.0,10331,France,220.0
100120,P1010,Ergonomic Chair Cushion,3,2023-06-19,30.0,10188,Netherlands,90.0
100120,P1010,Ergonomic Chair Cushion,1,2023-07-28,30.0,11274,UAE,30.0
100120,P1007,Gaming Mousepad,2,2023-05-21,18.75,11358,USA,37.5
100121,P1001,Wireless Mouse,1,2024-09-13,15.99,11950,Netherlands,15.99
100122,P1010,Ergonomic Chair Cushion,4,2024-01-07,30.0,10098,Netherlands,120.0
100122,P1004,Noise Cancelling Headphones,2,2023-03-20,120.0,10687,UAE,240.0
100123,P1009,USB-C Hub,3,2023-02-19,45.0,11494,Netherlands,135.0
100123,P1001,Wireless Mouse,2,2024-11-05,15.99,11439,Netherlands,31.98
